% var.,PAGH,PAGM,PAFM,PAAH
0.0047,440.38,443.64,24.52,60.11
0.008,445.44,447.18,24.37,59.63
0.013,450.04,452.98,24.71,59.29
0.0002,455.94,453.06,25.48,60.34
0.0008,452.16,453.43,25.8,60.1
0.0157,456.94,460.57,25.81,61.04
0.003,460.45,461.95,25.91,60.93
0.0018,462.6,462.79,26.28,61.06
-0.0055,464.01,460.25,26.32,61.46
-0.0012,460.95,459.72,26.65,61.47
-0.0086,459.94,455.78,26.18,61.68
-0.0155,443.74,448.73,25.88,60.71
0.0157,451.44,455.79,26.05,60.9
-0.0076,455.79,452.34,26.13,59.86
-0.001,454.07,451.89,26.51,62.93
-0.0168,447.37,444.28,34.36,62.64
-0.0027,443.93,443.1,34.01,63
-0.0035,442.88,441.56,35.43,63.97
0.0098,443.16,445.89,37.63,64.76
-0.0035,446.93,444.31,36.8,64.65
0.0185,447.93,452.55,37.49,65.24
0.0026,452.16,453.72,38.05,66.08
-0.0017,453.13,452.94,39.19,67.06
-0.0093,452.78,448.72,38.55,66.46
-0.0066,447.95,445.76,38.87,66.43
0.0022,448.18,446.76,38.54,65.86
-0.0025,445.71,445.64,38.5,64.92
-0.0055,443.88,443.18,38.22,66.77
-0.0048,443.85,441.05,37.02,69.94
-0.013,439.61,435.33,36.65,71.21
-0.0117,432.64,430.25,36.56,71.13
-0.0032,431.06,428.87,37.08,71.76
0.0102,429.27,433.24,37.81,72.53
-0.0003,434.6,433.13,38.41,71.58
0.0045,435.75,435.09,38.32,71.77
0.005,436.77,437.28,38.55,71.85
-0.004,439.34,435.53,40.55,71.57
-0.0044,435.42,433.62,41.34,71.85
-0.0187,430.23,425.49,39.64,69.8
-0.0019,425.54,424.69,40.55,70.13
0.0081,424.95,428.13,41.28,70.24
-0.01,428.3,423.86,41.29,69.6
0.0159,427.59,430.61,41.87,69.8
0.0131,430.59,436.24,41.78,71.24
0.0091,437.17,440.21,42.66,70.75
0,441.65,440.22,43.95,71.17
0.0096,442.29,444.46,44.04,72.31
0.0007,445.44,444.77,43.6,70.66
0.0085,444.7,448.53,45.04,66.82
-0.0035,449.14,446.97,44.75,67.53
-0.0045,447.68,444.97,44.31,66.41
-0.0015,448.53,444.31,42.51,64.3
-0.0019,444.14,443.48,45.07,65.05
0.0194,443.6,452.1,45.23,66.38
-0.0055,453.43,449.63,45.98,67.47
0.0052,449.63,451.99,47.49,66.77
-0.0184,448.51,443.68,47.19,70.09
0.0004,443.68,443.85,48.45,69.87
-0.0108,443.7,439.04,49.46,68.79
0.0011,439.58,439.51,50.39,69.46
-0.002,437.83,438.62,51.24,68.96
-0.0005,434.96,438.38,50.23,68.11
0.0127,440.55,443.93,50.42,69.71
0.0011,441.79,444.43,50.28,69.94
-0.0134,444.43,438.47,49.18,69.06
-0.0043,437.92,436.6,51.04,69
-0.0076,434.15,433.29,50.52,69.68
-0.0139,433.08,427.25,47.14,68.71
0.0026,428.56,428.35,46.77,69.51
0.0145,432.34,434.54,49.05,69.95
0.0043,433.44,436.42,49.11,70.4
0.0047,433.75,438.48,49.51,70.86
0.0067,438.3,441.43,49.5,71.24
0.0182,443.36,449.45,51.13,71.59
-0.0103,446.93,444.83,52.21,72.07
0.1379,488.76,506.19,54.22,72.7
-0.008,506.22,502.14,53.85,74.48
0.0037,502.99,503.99,52.67,74.27
0.0242,500.99,516.2,51.9,74.99
-0.0057,516.44,513.27,52.45,75.99
-0.0101,514.91,508.09,51.95,75.14
-0.0002,508.09,507.99,50.23,75.7
0.0209,510.04,518.62,49.4,73.81
-0.0056,519.22,515.71,49.01,74.99
0.0002,514.96,515.79,50.2,74.67
-0.0034,516.4,514.02,49.75,74.29
-0.0009,516.25,513.55,48.22,75.25
-0.0045,510.67,511.26,50.1,75.06
0.0012,513.3,511.87,49.12,74.42
-0.0145,511.8,504.46,47.56,73.21
0.008,504.86,508.51,47.53,74.37
-0.0053,505.24,505.79,46.2,74.15
0.0012,504.34,506.38,46.6,74.29
0.0205,503.86,516.74,48.71,74.38
0.0027,517.46,518.12,48.99,75.45
-0.0016,517.94,517.28,49.01,75
-0.0019,518.38,516.28,45.83,74.09
-0.0062,516.36,513.1,46.36,74.22
-0.0028,515.47,511.65,46.43,73.57
0.0115,514,517.54,46.7,74.45
-0.0021,517.21,516.45,46.23,74.26
0.0136,519.08,523.47,44.82,74.82
0.0119,524.81,529.72,45.89,76.2
0.0044,531.53,532.07,46.49,77.99
-0.0033,531.6,530.31,47.01,79.44
-0.0048,532.27,527.75,47.06,78.75
-0.0012,525.98,527.14,46.73,80.9
0.0047,526.19,529.6,48.62,80.71
-0.0008,529.11,529.18,48.34,81.13
0.0118,535.41,535.45,47.94,80
0.0077,536.01,539.59,48.84,80.92
0.0061,538.6,542.86,50.24,80.79
-0.0068,544.23,539.17,49.38,80.19
-0.0068,540.31,535.5,51.83,80.08
-0.0086,538.22,530.91,53.32,79.2
0.0115,532.52,537.01,53.81,79.64
-0.0029,536.93,535.45,54.86,79.28
0.0139,536.44,542.9,55.57,78.68
0.0014,540.91,543.64,55.05,77.78
0.0132,544.68,550.84,55.12,78.43
0.0132,554.46,558.09,57.77,81.44
-0.0029,558.03,556.46,57.96,81.1
0.005,557.55,559.27,57.73,80.56
0.0008,560.54,559.74,55.44,80.01
-0.008,560.71,555.27,53.71,79.22
0.0101,556.66,560.9,54.65,80.15
-0.0068,558.27,557.1,54.71,79.02
-0.0073,558.04,553.04,54.56,77.28
0.0111,557.04,559.2,57.2,77.7
0.0193,563.05,569.98,57.92,77.15
0.0021,573.56,571.17,58.23,77.64
-0.0096,572.27,565.67,57.22,76.65
-0.0001,570.09,565.64,57.94,76.13
-0.0064,563.78,562.03,55.91,76.53
0.0235,569.53,575.26,57.74,78.06
-0.0007,577.05,574.87,57.6,79.62
0.0066,575.11,578.67,57.19,79.18
-0.0049,578.99,575.82,56.3,77.24
0.0114,581.03,582.41,58.51,78.44
0.0012,583.87,583.08,57.51,78.79
-0.0042,580.56,580.61,56.63,79.45
-0.0313,576.06,562.46,54.45,78.01
-0.0201,563.6,551.15,53.55,78.64
0.0198,555.7,562.05,55.14,72.36
-0.0143,560.1,554,53.53,71.54
0.0257,573.06,568.25,61.08,71.4
0.0401,586.24,591.06,62.57,71.51
-0.0403,590.17,567.26,61.48,71.65
0.0042,569.55,569.63,62.75,72.68
0.0044,572.24,572.15,62.19,73.23
0.0147,576.12,580.54,62.16,73.22
0.0151,584.38,589.29,64.32,74.24
-0.0038,586.47,587.03,63.55,75.57
0.0147,590.66,595.67,64.85,76.57
-0.0029,595.08,593.92,64.45,76.56
0.0111,590.95,600.53,67.33,77.78
0.0024,598.38,601.98,67.09,77.71
0.0067,601.29,606.03,67.3,78
-0.0071,603.23,601.75,68.06,76.77
0.0015,602.15,602.64,69.63,75.88
-0.0003,604.49,602.48,68.59,75.04
0.0072,603.26,606.84,70.78,75.36
0.0062,608.56,610.59,69.85,74.58
0.0001,612.59,610.68,69.26,73.91
-0.0008,609.79,610.2,68.94,75.38
-0.0029,610.76,608.41,68.46,75.18
-0.0107,603.96,601.93,67.41,75.39
0.0102,608.09,608.04,68.8,75.89
0.0028,608.11,609.72,71.57,76.05
0.0011,611.73,610.4,70.84,75.82
-0.004,613.99,607.98,69.8,75.78
-0.0026,608.43,606.37,72.03,75.85
-0.0095,607.47,600.58,70.1,76.58
0.0061,598.78,604.24,70.88,76.66
-0.0151,604.56,595.11,68.83,75.81
-0.0137,591.57,586.97,67.72,74.96
0.0165,590.2,596.63,68.74,75.25
0.0161,597.91,606.22,69.19,75.91
-0.0099,606.49,600.21,68.24,75.89
-0.0017,600.56,599.16,66.97,75.53
-0.0118,603.74,592.09,67.24,76.12
-0.0212,592.67,579.53,64.1,77.03
0.0007,583.57,579.92,64.89,77.86
-0.0231,581.57,566.53,60.38,77.11
-0.0156,565.97,557.68,60.97,76.78
0.0053,560.04,560.62,60.01,76.69
-0.005,565.75,557.8,60.24,76.68
0.0183,560.68,568,62.62,77.38
0.0002,571.5,568.1,62.72,77.51
0.006,573.39,571.5,59.49,76.97
-0.0459,578.55,545.25,56.75,75.97
-0.0085,544.79,540.63,56.95,74.78
0.0312,545.05,557.51,58.19,74.78
0.0171,565.84,567.04,62.41,75.76
-0.0359,568,546.69,59.16,74.78
-0.0163,537.94,537.76,58.53,74.23
0.0138,543.66,545.2,58.89,74.53
0.0064,551,548.7,59.09,73.99
0.0277,557.7,563.9,59.72,74.14
-0.0365,556.32,543.34,58.94,74.99
-0.0073,544,539.37,61.24,75.88
0.0114,536,545.5,63.03,75.96
-0.0146,543.67,537.51,61.36,74.96
-0.0057,541.69,534.44,60.87,81.11
-0.0212,532.26,523.1,57.71,81.71
-0.0002,525.8,522.98,56.14,84.87
0.0255,523.89,536.33,58.15,84.62
-0.0027,535.12,534.88,59.78,84.3
0.0068,534.25,538.53,61.15,84.5
-0.0087,541.44,533.87,60.46,84.65
0.0027,530.24,535.33,61.22,85.85
-0.0238,533.41,522.57,58.53,84.92
-0.0087,523.25,518,57.39,84.62
0.0042,515.72,520.17,56.76,84
0.0124,518.65,526.62,57.24,83.65
0.0224,531.84,538.43,59.83,84.69
0.0058,539.58,541.54,59.83,84.82
-0.0132,541.82,534.41,59.23,84.84
-0.0099,533.14,529.12,57.92,84.12
-0.0015,529.6,528.3,58.02,85.36
0.0199,528.88,538.83,59.21,86.37
0.0029,540,540.39,58.56,86.39
0.0172,542.9,549.7,60.49,86.62
0.0105,552.2,555.45,60.52,86.75
0.015,558.13,563.8,61.35,87.73
0.0196,567.78,574.87,63.48,89.38
-0.0077,574.57,570.45,63.51,89.14
0.0002,573.39,570.56,63.83,90.77
0.0019,571.64,571.65,63.3,90.43
-0.0128,569.75,564.34,63.08,89.81
-0.0174,560.9,554.51,62.87,91.08
-0.0014,551.52,553.76,63.34,92.12
0.0202,557.11,564.93,63.19,92.48
0.0019,568.16,566.03,62.5,92.22
0.0083,566.75,570.73,62.88,93.7
-0.0043,568.78,568.3,65.77,94.25
-0.0014,565.92,567.5,65.78,93.86
-0.0141,567,559.5,64.29,92.29
0.0015,560.08,560.35,64.5,91.28
-0.0144,557.25,552.3,64.19,92.2
-0.003,552.36,550.62,64.4,92.08
0.0182,552.8,560.66,65.6,92.18
0.0077,561.15,564.99,64.34,91.86
0.0027,566.45,566.52,64.5,90.91
0.0137,564.35,574.29,65.37,90.83
-0.003,574.22,572.54,65.72,90.28
0.0234,573.55,585.93,67.44,90.36
-0.002,589.3,584.77,67.13,90.9
0.0016,585.45,585.69,67.6,91.98
-0.0017,586.76,584.67,67.29,92.93
0.0117,587.65,591.49,68.06,93.52
-0.0012,592.26,590.78,66.45,93.48
0.0039,591.7,593.08,66.29,94.03
-0.0039,593.51,590.76,65.29,95.97
-0.0209,586.37,578.4,62.76,95.35
0.0086,578.95,583.36,64.97,95.39
-0.0057,573,580.04,64.87,95.03
0.0114,581,586.65,66.34,95.22
0.013,590.6,594.26,67.9,96.45
-0.002,595.15,593.06,67.17,95.32
-0.0041,596.89,590.62,67.66,94.78
-0.0166,588.97,580.82,66.41,93.09
0.0418,603.01,605.11,68.42,94.43
-0.011,601.35,598.44,69.4,93.94
0.0086,599.7,603.57,69.27,94.72
0.0027,602.05,605.19,71.29,97.19
-0.0036,605.53,603.01,74.98,97.03
-0.0082,599.25,598.08,75.19,97.67
0.0016,597.75,599.02,74.92,99.02
-0.0085,597.7,593.95,73.71,98.38
0.0025,595.81,595.44,74.68,98.15
-0.0267,588.96,579.55,72.65,95.6
-0.0103,578.55,573.6,72.36,96.13
0.0151,576.51,582.27,73.51,95.59
-0.0157,579.38,573.14,72.69,95.12
0.0024,569.5,574.49,72.47,94.96
-0.0047,576.05,571.81,73.17,94.48
0.0107,572.02,577.94,73.06,94.74
-0.0012,579,577.25,73.44,95.99
-0.0089,575,572.12,72.83,95.97
0.0217,576.45,584.56,73.77,97.24
0.0002,586.69,584.65,74.3,97.5
-0.0016,587.5,583.71,73.63,97.98
0.0154,587.1,592.7,74.59,99.16
0.0074,595.59,597.11,75.29,100.53
-0.0028,596.95,595.41,74.81,100.57
-0.005,594.9,592.42,74.57,100.58
0.0002,593.27,592.54,74.57,101.32
-0.0033,594.77,590.57,75.02,101.54
-0.0041,592,588.12,75.96,100.89
-0.0087,587.81,583,74.63,102.13
-0.0046,580.02,580.32,73.86,102.25
0.0035,582.35,582.36,74.82,102.5
0.0108,582.95,588.63,76.68,103.3
0.0015,591.73,589.52,75.83,98.94
0.0061,592.13,593.14,75.95,98.12
0.0078,595.13,597.78,77.26,98.97
0.0064,599.14,601.63,77.89,98.36
-0.0161,600.27,591.97,76.67,97.99
0.0024,591.74,593.42,77.43,101
-0.0039,590,591.11,77.92,101.43
-0.0105,590.39,584.9,77.48,101.66
-0.0056,582.24,581.64,74.58,101.63
0.0123,580.95,588.78,76.08,100.86
0.0077,589.51,593.29,76.43,101.58
0.0067,595.05,597.27,77,101.79
0.0136,599.49,605.4,77.91,100.96
-0.0134,602.5,597.27,76.8,101.06
-0.0102,595,591.18,78.29,102.64
0.0122,591.57,598.42,78.53,101.75
-0.022,596.99,585.25,77.22,97.87
0.0045,585.93,587.9,78.79,100.75
-0.0002,581.83,587.81,79,100.11
0.001,587.49,588.41,79.04,100.75
-0.0149,586.8,579.63,76.55,99.18
0.0022,578,580.88,77.08,99.9
0.0092,584.1,586.25,77.44,99.62
0.0026,589.95,587.78,77.56,99.62
-0.0233,584.9,574.1,76.29,98.75
0.0168,574.79,583.74,77.52,100.8
-0.0222,581.61,570.81,75.91,101.02
-0.0274,567.47,555.19,72.91,100.73
-0.0188,555.13,544.75,72.99,99.81
0.0072,550.14,548.69,73.59,98.75
-0.0145,542.08,540.73,73.21,97.54
-0.007,527,536.92,72.63,96.26
-0.026,540.45,522.97,75.95,97.67
0.018,520.45,532.38,76.95,99.76
0.0106,537.27,538.03,78.69,102.47
0.0087,541.05,542.69,78.37,102.99
0.0202,548.28,553.65,80.04,104.83
-0.0086,554.98,548.9,80.67,105.22
0.0018,547.76,549.88,80.28,105.11
0.0165,551.71,558.94,80.77,106.74
-0.0009,560.85,558.45,75.86,107.34
0.0033,558.25,560.27,74.11,106.98
0.0136,568.3,567.87,74.99,108
-0.0072,563.53,563.77,73.88,109.4
0.0007,561.16,564.19,75.76,108.6
